iter	TotalF1	MultiClass
0	0.6684613895	1.075761624
1	0.7492158982	1.052392485
2	0.7330614822	1.034803941
3	0.7477645827	1.01534893
4	0.7698474271	0.9936494651
5	0.7741163215	0.9764968876
6	0.7768522709	0.9603713461
7	0.7724182479	0.9444834029
8	0.7828774018	0.9258418764
9	0.7805373879	0.9121514164
10	0.7742170393	0.8982275306
11	0.7777899652	0.8844349813
12	0.7827834594	0.8722346226
13	0.7857229192	0.8587227201
14	0.7894309106	0.8452467443
15	0.7928765411	0.8321633435
16	0.7996631255	0.8212886806
17	0.7989884567	0.8102399866
18	0.7973000827	0.800152434
19	0.7979173218	0.7900964306
20	0.802020632	0.7813402512
21	0.8025759169	0.7720666208
22	0.801303939	0.7641468322
23	0.8029466185	0.7550357634
24	0.8015684254	0.7456694438
25	0.8050935085	0.7362917895
26	0.804668535	0.7276945356
27	0.8066668229	0.7213177644
28	0.8073057303	0.7140781811
29	0.8050720202	0.7080712782
30	0.8023303158	0.7025301068
31	0.8041335726	0.6959872143
32	0.8091259745	0.6882636023
33	0.8087265543	0.6821900425
34	0.8092570988	0.6756377785
35	0.8075722867	0.6703181322
36	0.8100689176	0.6640642463
37	0.8102821207	0.6572168391
38	0.8111791415	0.6517919186
39	0.8112355327	0.6467165833
40	0.8124933679	0.6400310556
41	0.8140989428	0.6348065202
42	0.8155432732	0.6299931523
43	0.8172476332	0.6251004089
44	0.818501069	0.6205025183
45	0.8173016212	0.616459072
46	0.8180232419	0.6124014259
47	0.817525162	0.6089023368
48	0.8169932453	0.6051457521
49	0.8174292197	0.6005591951
50	0.8194440375	0.596154251
51	0.8210289279	0.5924201404
52	0.8223246361	0.589212403
53	0.8222225726	0.5859433522
54	0.8213108551	0.5816794039
55	0.8228455521	0.578747457
56	0.823549903	0.576343925
57	0.8244990874	0.5737853234
58	0.8275242954	0.570837606
59	0.8270117986	0.5679163534
60	0.8279350876	0.5647696065
61	0.8302889103	0.5624490157
62	0.8303515915	0.5598238252
63	0.8297200482	0.5579880995
64	0.8317177213	0.55583152
65	0.8312374222	0.5529592258
66	0.832310557	0.5514658843
67	0.8333975662	0.5484333379
68	0.8349882273	0.5455707647
69	0.8339166517	0.5438539749
70	0.8350619571	0.5410333567
71	0.8372206286	0.5390845244
72	0.8402323646	0.5368405256
73	0.8413974234	0.5349727365
74	0.8420101111	0.5318608872
75	0.838393054	0.5291559376
76	0.8387046194	0.5274295913
77	0.8400348763	0.5256323828
78	0.8415624791	0.5228225074
79	0.8401315771	0.5205257289
80	0.8404626643	0.5186536862
81	0.8400538208	0.5169948495
82	0.840425672	0.5147800351
83	0.8408485545	0.5129679624
84	0.8428684592	0.510586426
85	0.8432081528	0.5087815946
86	0.8437584113	0.5072861633
87	0.8448938901	0.5060061018
88	0.8448814679	0.505096335
89	0.8457583635	0.5034067457
90	0.8455892702	0.5008200838
91	0.846577139	0.499200631
92	0.8474049043	0.4980346691
93	0.8479255062	0.4963993864
94	0.84769426	0.4951285446
95	0.8491368949	0.4932656972
96	0.8484362644	0.492083112
97	0.8474330888	0.4898816628
98	0.8484576214	0.4886228153
99	0.8482264731	0.4870922248
100	0.8482581156	0.4857582181
101	0.8478609723	0.4848449183
102	0.848145263	0.4838924882
103	0.8487569223	0.4827552615
104	0.8507094529	0.4815155899
105	0.8518047384	0.480156484
106	0.8506607062	0.4785047211
107	0.8525948715	0.4769869685
108	0.8524503442	0.4756759917
109	0.85374919	0.4739536661
110	0.8541707116	0.4728329959
111	0.8551226312	0.4713452494
112	0.8544462001	0.4703048823
113	0.8562882482	0.4684000363
114	0.8557765235	0.4668644575
115	0.8564045401	0.4656713395
116	0.8555339198	0.464943596
117	0.8565695292	0.4638719038
118	0.8576320743	0.4630102439
119	0.8575746527	0.4624986437
120	0.8578624916	0.4617559341
121	0.8581098538	0.4611167614
122	0.8573220441	0.4595529862
123	0.8579589699	0.4587899432
124	0.8585754721	0.4576950548
125	0.859472693	0.4564630803
126	0.8599380617	0.4556121509
127	0.8612611346	0.4537403744
128	0.8611567501	0.4529669554
129	0.8609332968	0.4517891612
130	0.861398761	0.4512479942
131	0.862158808	0.4504090032
132	0.8623598717	0.4495790809
133	0.8635141077	0.4489915095
134	0.8628644858	0.4483071141
135	0.8628040907	0.4472102011
136	0.8629499358	0.4464344341
137	0.8635725107	0.4457643364
138	0.8636969516	0.444372779
139	0.8637995857	0.4434656847
140	0.8642677272	0.4423267564
141	0.8639804247	0.4414762469
142	0.8636687723	0.4406461905
143	0.8641195592	0.4397617085
144	0.8642157238	0.4382872974
145	0.8646591452	0.4377461441
146	0.8645892449	0.4373983107
147	0.8641235259	0.4367590337
148	0.8651276722	0.436016909
149	0.8653130199	0.4354467532
150	0.8655619917	0.4345941958
151	0.865156865	0.4341237428
152	0.8654375036	0.4336003804
153	0.8662476475	0.4329587483
154	0.8656925328	0.4320820614
155	0.8649397865	0.4313508073
156	0.866189891	0.4308887187
157	0.8664177065	0.4299582823
158	0.8665422189	0.4294456095
159	0.8664806395	0.429195676
160	0.8685649342	0.4282371949
161	0.8674763561	0.4279901359
162	0.8686305259	0.4270715816
163	0.8676345288	0.4260096163
164	0.8676345288	0.4255057124
165	0.8676319946	0.4248253721
166	0.8675074334	0.4243950827
167	0.8681638142	0.4234240738
168	0.8691340808	0.4224635321
169	0.869699154	0.4219734291
170	0.8701086621	0.4216559694
171	0.8694141619	0.4210033778
172	0.869886162	0.4200147568
173	0.8703860263	0.4193849013
174	0.8702282346	0.4189102836
175	0.8705083004	0.418695082
176	0.8704461127	0.4181305741
177	0.8707662084	0.4172120032
178	0.8709483565	0.4166371114
179	0.8713252751	0.4158968587
180	0.8705786985	0.415565115
181	0.8708259594	0.4149292972
182	0.8715775617	0.4143476888
183	0.8714528495	0.4139005369
184	0.8723290601	0.413521438
185	0.8735426944	0.4128957572
186	0.8736345392	0.4122560212
