iter	Passed	Remaining
0	75	112661
1	154	115903
2	232	115839
3	316	118254
4	391	116996
5	463	115445
6	535	114150
7	625	116569
8	707	117184
9	782	116556
10	855	115757
11	929	115317
12	1007	115248
13	1097	116537
14	1179	116780
15	1256	116521
16	1337	116686
17	1413	116356
18	1494	116509
19	1576	116624
20	1681	118412
21	1763	118507
22	1836	117962
23	1925	118388
24	1993	117595
25	2058	116696
26	2124	115880
27	2190	115141
28	2257	114498
29	2327	114065
30	2395	113518
31	2459	112810
32	2525	112267
33	2589	111662
34	2653	111077
35	2718	110555
36	2784	110112
37	2857	109924
38	2928	109704
39	2997	109393
40	3071	109311
41	3141	109048
42	3223	109238
43	3297	109120
44	3368	108899
45	3431	108461
46	3494	108041
47	3560	107705
48	3631	107544
49	3704	107438
50	3777	107316
51	3852	107284
52	3923	107121
53	3996	107025
54	4068	106892
55	4143	106839
56	4219	106830
57	4296	106816
58	4375	106861
59	4450	106819
60	4528	106832
61	4601	106724
62	4676	106659
63	4754	106671
64	4825	106541
65	4891	106283
66	4960	106090
67	5028	105890
68	5096	105697
69	5163	105485
70	5232	105305
71	5300	105129
72	5371	105008
73	5441	104867
74	5507	104651
75	5572	104409
76	5635	104145
77	5705	104009
78	5775	103880
79	5849	103829
80	5922	103752
81	5996	103691
82	6070	103638
83	6140	103512
84	6206	103321
85	6275	103173
86	6348	103108
87	6420	103025
88	6486	102843
89	6549	102616
90	6617	102461
91	6684	102300
92	6751	102147
93	6817	101973
94	6883	101804
95	6950	101647
96	7018	101509
97	7139	102139
98	7202	101929
99	7267	101747
100	7330	101538
101	7397	101382
102	7468	101292
103	7547	101309
104	7622	101265
105	7694	101187
106	7763	101071
107	7832	100953
108	7898	100795
109	7961	100598
110	8028	100466
111	8095	100324
112	8163	100201
113	8233	100105
114	8308	100061
115	8383	100025
116	8457	99970
117	8533	99945
118	8607	99891
119	8683	99858
120	8756	99794
121	8830	99745
122	8905	99697
123	8981	99663
124	9051	99568
125	9119	99441
126	9183	99284
127	9244	99092
128	9311	98966
129	9376	98810
130	9442	98673
131	9506	98526
132	9570	98370
133	9634	98219
134	9703	98112
135	9770	97995
136	9842	97922
137	9914	97849
138	9980	97722
139	10047	97603
140	10111	97459
141	10190	97457
142	10259	97360
143	10325	97229
144	10392	97113
145	10461	97020
146	10540	97014
147	10605	96881
148	10678	96821
149	10743	96694
150	10807	96552
151	10873	96435
152	10943	96344
153	11014	96268
154	11083	96179
155	11149	96059
156	11216	95949
157	11281	95817
158	11346	95699
159	11414	95599
160	11483	95504
161	11547	95374
162	11611	95243
163	11675	95110
164	11740	94995
165	11821	94998
166	11896	94956
167	11972	94925
168	12055	94949
169	12135	94938
170	12210	94900
171	12288	94881
172	12366	94858
173	12441	94815
174	12512	94734
175	12577	94617
176	12644	94508
177	12710	94401
178	12773	94266
179	12837	94140
180	12904	94041
181	12969	93919
182	13036	93817
183	13099	93690
184	13161	93555
185	13225	93432
186	13297	93366
187	13370	93307
188	13439	93221
189	13507	93134
190	13581	93080
191	13657	93041
192	13722	92931
193	13787	92817
194	13852	92708
